short_name,total
T. Hazard,717776
Dória,494768
M. Salah,928669+1
I. Gueye,7473+277
Mário Fernandes,79-67972
G. Xhaka,47-561-1077
L. Digne,797275+1
Jesé Rodríguez,90+18968
Bruma,90+19278-3
Bruno Fernandes,80-27873
G. Rulli,543777+2
N. Maksimović,64+949+476
J. Dos Santos,697370+3
C. Erkin,818179+1
J. Rodwell,687573
A. Ljajić,828269-1
S. Caulker,696473
A. Potuk,84+581+180+2
J. Geis,65-172-176+2
A. Florenzi,828577-1
Rubén Pardo,68-176-178
S. Umtiti,72+26074
A. Gómez,919173
M. Yanga-M'Biwa,746278
Koo Ja Cheol,7884+175
L. Fer,747375
C. Smalling,755177
Álvaro Domínguez,62+859+375-1
L. Kweuke,656174
Rômulo,837876-3
Neto,405474-1
M. Höger,64-368-175
Marc Bartra,69+46774
J. Clasie,68-57577+1
H. Son,857876
C. Atsu,948874
Andrés Fernández,58+35779
E. Choupo-Moting,77-176+178
S. Giovinco,9393-274-1
R. Alessandrini,919178
A. Szalai,6663-280
M. Wakaso,90+28673
T. Heurtaux,6560+575-1
A. Mehmedi,7381+675+1
Éder,77-676-575-1
Iago Aspas,86+192+181-1
K. Manolas,79+56768+2
P. Herrmann,908876
B. Stambouli,68-107974
B. Natkho,757774
V. Aboubakar,827675
A. Lopes,593971
Casemiro,646772
Cédric,837675
V. Chiricheş,77-458-1877
H. Herrera,72-567-1179
S. Bolat,475173
Diego Capel,92+189-375+2
V. Kavlak,757678
S. Aigner,8177-173
F. Lustenberger,687376+1
J. De Guzmán,74-177-169
M. Harnik,78-170-379
K. Grosicki,888368
Xavi Torres,526174
Y. Mulumbu,686676
I. Traoré,9194+173
R. Neustädter,54-155+177
C. Träsch,68-164+376
B. Ideye,818475
B. Ecuélé Manga,624070
B. Dost,58-159-577
Daniel Carriço,63+159+167+1
T. Jantschke,72+173-179
F. Montero,788474-1
Pizzi,8580+178+1
P. Wollscheid,50-34676
M. Badelj,5371-177
E. Gülüm,64-468+575+8
M. Zárate,77-1188-178
D. Aogo,76-175-277
D. Gibson,5255-1573-2
S. Defour,67-772-177+1
E. Elia,928575+2
P. Tytoń,5148-1771
Antunes,83-27974
Maurício,65+458-772
M. Isla,84-38771+2
M. Suárez,78-281-380
C. Diabaté,54-647-1878+2
S. Rudy,7481+177+1
Sílvio,78-17674
L. Sané,675674+2
Adrián,464770
D. Caligiuri,8479+176
S. Fletcher,697777
R. Shishkin,778178
A. Guardado,84-285-279-1
Bueno,72-17874
Henrique,6561+165
D. Tarasov,756274
A. Nyom,74+650+172+3
G. Medel,7763-1981
Portillo,77-27977
J. Iličić,69+16271-1
M. Schwarzer,503682
Eliseu,85-284-182-1
S. Parker,6869+182
R. Lambert,49-55776
D. Kuyt,71+270-182+1
N. Rimando,48-105973
Alan,67-87674
W. Samuel,4739-267-7
R. Santa Cruz,46-15679
R. Márquez,61+1050-267-3
A. Ivanschitz,6866-178-3
J. Olsson,5134-1680
R. Schäfer,314877
K. Kuranyi,68-65982
J. Heitinga,64+46581
F. Balmont,6473+1176
T. Barnetta,77-17980
C. Ledesma,55-469-179-1
Fernando Navarro,67+161+176+2
J. Valdés,74-475-1179
A. Boruc,414071
T. Starke,423673
A. Kerzhakov,78-57476
Jonatan Soriano,6578+278+7
A. Meier,535878
N. Valdez,757477
A. Koné,75-107574-1
S. Muntari,687467-1
Artur Moraes,455964-1
Sergio García,73-26681
G. Pazzini,7679-181-3
G. Johnson,79-47373
R. Huth,4826-870
Amaya,31-233-168+2
B. Džemaili,757473-1
A. Domínguez,727270
P. Webó,717071
A. Orión,4449+1076-1
A. Pyatov,655877
G. Gönül,85+18276
Tito,76-17575+2
Roberto,556070+2
A. Dikan,454370
V. Gabulov,615073
V. Malafeev,565976
A. Anyukov,74-47077
C. Maggio,75-47475-1
J. Drobný,363976
H. Bedimo,817476
S. Davis,75+279-278+1
T. Sivok,636174
M. Sissoko,53-555-1275
N. Kranjčar,647076
I. Afellay,81-17870
O. Peralta,76-274-177-1
L. Osman,54-117979
D. Abraham,70-362-170
S. Naismith,76-17876
A. Diaby,73-37473
M. Jarvis,887872
Charles,70-292+177+1
Adriano,787984
Valera,74-16882
D. Digard,687275
F. Gago,677278
A. Kasaev,827676
J. Vargas,7471+167-1
F. Higuaín,74-27278
Jardel,553472+1
S. Ireland,737779
L. Schøne,70-475-174+2
Carlos Martínez,64-25572-1
N. Moisander,6968-177
I. Piatti,7880-173-1
Felipe Santana,77+144-776
Weligton,52-25273
Nacho Monreal,797576
P. Cissé,7679-178
P. Diop,647577
M. Sall,50-934-870
Ricardo,364876
C. Sánchez,61-36274+4
M. Abdellaoue,7576-178
C. Noboa,73-17769
Wanderson,767569
O. Alonso,81-17273
N. Al Shamrani,88+277+383
D. Subašić,514274
Y. Nagatomo,90-19175-1
M. Dević,817673
N. Veldevés,747484
Hernane,697273
P. Pérez,74-17775
A. Januzaj,868368+2
M. Meyer,829075+4
L. Shaw,79-67974+1
M. Kovačić,8581-274+1
A. Correa,8889+173
D. Origi,86+378+273+5
F. Đuričić,8279-173
Sergi Roberto,697171
V. Fischer,7879-172
J. Boëtius,919170
I. Hajrović,77-58264
Rômulo,736773
A. Maher,738173-1
S. Zaza,7675+274+2
M. Batshuayi,818474
J. Campbell,908571
F. Schär,7772+768+1
André Gomes,5562+173+1
M. Lestienne,878478
J. Ananidze,84+187+768
Hugo Mallo,78-37876+1
M. Gabbiadini,79-17470-1
A. Musa,95+190-276
D. Klaassen,76-169-176-1
M. Arnold,7575-175+2
E. Álvarez Balanta,69-660+579+6
F. Delph,79-689-171+2
A. Paloschi,787876-1
Marlos,899272
A. Dragović,70-46773
N. Clyne,87+279+269+3
S. Taïder,767972
B. Martins Indi,6553-372+1
F. Ghoulam,79+167+272+1
O. Onazi,83+389+170-1
R. Knoche,666076+2
L. Bittencourt,899273+4
V. Germain,769175+3
V. Ibarbo,87-174-471-1
M. Jojić,79-278-475+1
F. Forster,413262
P. Hetemaj,788674-1
F. Caicedo,68-16372
T. Necid,785771
M. Sissoko,78-47278
J. Kana-Biyik,645278
Yoel,60+1069+1272
F. Tabanou,807772
G. Fofana,71+56675
A. McCarthy,583564
L. de Jong,637576
S. Corchia,787476+1
W. Khazri,767873
I. Fetfatzidis,90+289+365-1
Jonathan Viera,7993+165+1
André Martins,8491-182
G. Kondogbia,66-84368
Luís Neto,696977
L. Ocampos,80-28271
J. Veltman,68+27275+4
C. Vargas,526574
Z. Kuzmanović,55-15667-1
J. Rodriguez,84-279-176+1
V. Moses,857868
T. Kraft,564573
H. Nordtveit,67-16374
Y. Mollo,86-18771
Fabiano,473769+2
F. Borini,797876+2
F. Di Santo,7264+471+6
F. Djordjevic,60+26479-1
Jefferson,827673
D. Janmaat,75+37278+1
Douglas,615170
M. Sau,929275-1
V. Wanyama,63-97278
Candeias,858276
F. Rossi,72-480-275+10
Xandão,5136+367
L. Narsingh,93-181-170-1
M. Braithwaite,919068+2
Juan Dominguez,63-26676+5
Tomás Pina,6770-372-5
Montañés,89-189+474
A. Mandi,746975
V. van Dijk,685568+1
O. Niasse,916871
N. Ghilas,7475-476
Víctor Rodríguez,837972+2
T. Huddlestone,34-1739-872
L. Cattermole,686473
J. Cork,58-86576+1
Z. Junuzović,82+588-375
W. Reid,685470
L. Fejsa,656073
Maicon,948577
B. Oczipka,66-26474
D. Santon,75-56873
Bamba Anderson,72+16975
J. Baumgartlinger,73-168-173
M. Schmiedebach,747974+3
Y. El Arabi,77-189-168+1
A. Finnbogason,69-367-178+1
Mexer,686876
Josué,73-380-276-1
A. Marchesín,275474
J. Schmid,827773-1
Aleix,8978+175+3
K. Bellarabi,88+581+274
Edenílson,868274
Diogo Figueiras,797972+3
H. Kiyotake,78-18780
A. Hahn,79+168-175+2
I. Slimani,61+161-275
Derley,68-469-173+4
A. Mierzejewski,787674
N. Onuoha,755369
S. Gakpé,93+191+467
D. Wass,76+173+276
Alex López,67-169-275+3
P. Velthuizen,575874
C. Chantôme,687374
D. Schwaab,67-16477
A. Bjelland,53-155976
J. Forlin,636473
J. Hegeler,556175
R. Ruiter,554172
Víctor Pérez,697373+3
Leonardo,848266
R. Álvarez,64-87473-1
M. Noble,546372
N. Bendtner,545876
S. Long,85-27474
M. Lustig,72-16872+4
S. Prödl,53-145-273
M. Diakité,6433-1768
Eder,868474-1
C. Kaboré,77+37376
B. Bannan,78-58372
D. Glushakov,716780
P. Pekarík,77-17376+1
D. Pabón,91+278-171-1
E. Gigliotti,54-126577-2
M. Casco,87+383+274-6
C. Abbiati,425463-1
J. O'Shea,515175
W. Brown,55-54867
Hélder Postiga,70-276+176
D. Pizarro,697879-1
D. Bonera,53-15069+1
M. Essien,63-555+167-1
E. Moretti,53-15071-1
J. Speroni,425176+2
E. Didot,637275
M. Domizzi,47-34571-1
P. Crouch,5256-880-2
K. Nolan,505784
H. Westermann,65-25076
W. Routledge,848272
K. Commons,70-48168
R. Green,384873
S. Pepe,81-27964-1
Borja Oubiña,55-36783+1
Corominas,7885+184-1
S. Riether,77-479-274
R. Cohade,686973
N. Noveski,33-154378+3
A. Tymoshchuk,44-1066+379
M. Agazzi,465261-1
L. Andreasen,62-16677+2
E. Eboué,848277-2
M. Chamakh,677074
S. Sidwell,657173
D. Perquis,52-259+272
S. Schaars,5264-273-2
M. Ciani,60-34671-1
Y. Jouffre,737277
L. Obraniak,67-574+173
J. Barton,62-77077
D. Fletcher,596279
G. Lux,295673+4
D. Díaz,42-104670
L. Britton,68-27877
D. Marshall,483372-1
E. Abidal,485878
M. Barovero,353270-1
L. Romagnoli,73-376-174-1
D. Colotto,53-25969
S. Domínguez,39-135472-1
B. İrtegün,636473
G. Zan,344565
Lafita,63-26681
Manu Del Moral,787075+2
Miguel Flaño,70+260+167
S. Ryzhikov,605974
A. Arshavin,7682-368-6
V. Bystrov,868575
Z. Karcemarskas,373170
W. Hoolahan,7379+173
D. Salpingidis,888271
P. Ochs,75-16976
C. Jallet,757476
A. Tettey,747373
M. Williamson,6432-1973
D. Cvitanich,737373
Àngel Rangel,657274
M. Schäfer,71-468-175
J. Villar,315242
Ederson,69-17868-1
J. Corona,476572
J. Arango,59-572-375-1
A. Nocerino,787875-1
E. Zengin,76-184-168+4
S. Taylor,5435-1576
Jurado,808074
A. Romao,65-96774
M. Krohn-Dehli,73-279-274+5
F. Clerc,696975
A. Konko,84-17977-1
O. Kucher,62-55172
C. Davies,69+16774+1
Cobeño,484770+2
L. Fabiański,505270
S. M'Bia,645674
C. N'Zogbia,86-38468
E. Polanski,64-164+176
E. Scarione,767969
Danilo,47-338-272-2
D. Basta,7670+175+1
M. Amalfitano,68-37472
Ari,88+27671
J. Nekounam,546072
L. N'Guemo,737474
José Fonte,55-16276-1
